Date,Temp
1929.3333,-0.38
1929.4167,-0.43
1929.5000,-0.36
1929.5833,-0.33
1929.6667,-0.26
1929.7500,-0.15
1929.8333,-0.11
1929.9167,-0.54
1930.0000,-0.30
1930.0833,-0.26
1930.1667,-0.10
1930.2500,-0.25
1930.3333,-0.24
1930.4167,-0.22
1930.5000,-0.21
1930.5833,-0.15
1930.6667,-0.16
1930.7500,-0.12
1930.8333,0.18
1930.9167,-0.05
1931.0000,-0.10
1931.0833,-0.21
1931.1667,-0.10
1931.2500,-0.23
1931.3333,-0.20
1931.4167,-0.08
1931.5000,-0.04
1931.5833,-0.04
1931.6667,-0.07
1931.7500,0.05
1931.8333,-0.06
1931.9167,-0.05
1932.0000,0.16
1932.0833,-0.17
1932.1667,-0.18
1932.2500,-0.06
1932.3333,-0.17
1932.4167,-0.29
1932.5000,-0.24
1932.5833,-0.22
1932.6667,-0.10
1932.7500,-0.09
1932.8333,-0.27
1932.9167,-0.26
1933.0000,-0.23
1933.0833,-0.29
1933.1667,-0.29
1933.2500,-0.24
1933.3333,-0.29
1933.4167,-0.34
1933.5000,-0.21
1933.5833,-0.23
1933.6667,-0.29
1933.7500,-0.24
1933.8333,-0.30
1933.9167,-0.44
1934.0000,-0.20
1934.0833,-0.02
1934.1667,-0.29
1934.2500,-0.30
1934.3333,-0.09
1934.4167,-0.15
1934.5000,-0.10
1934.5833,-0.12
1934.6667,-0.15
1934.7500,-0.06
1934.8333,0.04
1934.9167,-0.02
1935.0000,-0.34
1935.0833,0.14
1935.1667,-0.14
1935.2500,-0.37
1935.3333,-0.28
1935.4167,-0.26
1935.5000,-0.21
1935.5833,-0.22
1935.6667,-0.21
1935.7500,-0.05
1935.8333,-0.25
1935.9167,-0.16
1936.0000,-0.27
1936.0833,-0.37
1936.1667,-0.20
1936.2500,-0.20
1936.3333,-0.16
1936.4167,-0.21
1936.5000,-0.09
1936.5833,-0.13
1936.6667,-0.09
1936.7500,-0.02
1936.8333,0.02
1936.9167,0.00
1937.0000,-0.07
1937.0833,0.03
1937.1667,-0.20
1937.2500,-0.15
1937.3333,-0.05
1937.4167,-0.05
1937.5000,-0.03
1937.5833,0.02
1937.6667,0.09
1937.7500,0.09
1937.8333,0.08
1937.9167,-0.07
1938.0000,0.09
1938.0833,0.04
1938.1667,0.10
1938.2500,0.07
1938.3333,-0.09
1938.4167,-0.17
1938.5000,-0.09
1938.5833,-0.05
1938.6667,0.01
1938.7500,0.15
1938.8333,0.08
1938.9167,-0.12
1939.0000,-0.04
1939.0833,-0.06
1939.1667,-0.17
1939.2500,-0.10
1939.3333,-0.04
1939.4167,-0.07
1939.5000,-0.05
1939.5833,-0.06
1939.6667,-0.07
1939.7500,-0.03
1939.8333,0.08
1939.9167,0.43
1940.0000,0.00
1940.0833,0.08
1940.1667,0.09
1940.2500,0.18
1940.3333,0.11
1940.4167,0.12
1940.5000,0.12
1940.5833,0.07
1940.6667,0.15
1940.7500,0.11
1940.8333,0.16
1940.9167,0.31
1941.0000,0.18
1941.0833,0.31
1941.1667,0.10
1941.2500,0.17
1941.3333,0.17
1941.4167,0.13
1941.5000,0.22
1941.5833,0.15
1941.6667,0.02
1941.7500,0.35
1941.8333,0.23
1941.9167,0.22
1942.0000,0.29
1942.0833,0.02
1942.1667,0.06
1942.2500,0.10
1942.3333,0.11
1942.4167,0.05
1942.5000,0.00
1942.5833,-0.04
1942.6667,-0.03
1942.7500,0.02
1942.8333,0.10
1942.9167,0.13
1943.0000,-0.01
1943.0833,0.18
1943.1667,-0.03
1943.2500,0.11
1943.3333,0.07
1943.4167,-0.05
1943.5000,0.09
1943.5833,0.01
1943.6667,0.05
1943.7500,0.23
1943.8333,0.20
1943.9167,0.24
1944.0000,0.36
1944.0833,0.24
1944.1667,0.26
1944.2500,0.20
1944.3333,0.20
1944.4167,0.16
1944.5000,0.18
1944.5833,0.18
1944.6667,0.28
1944.7500,0.27
1944.8333,0.11
1944.9167,0.04
1945.0000,0.10
1945.0833,0.01
1945.1667,0.06
1945.2500,0.20
1945.3333,0.06
1945.4167,0.01
1945.5000,0.04
1945.5833,0.26
1945.6667,0.21
1945.7500,0.19
1945.8333,0.08
1945.9167,-0.06
1946.0000,0.15
1946.0833,0.03
1946.1667,0.02
1946.2500,0.06
1946.3333,-0.07
1946.4167,-0.21
1946.5000,-0.12
1946.5833,-0.20
1946.6667,-0.08
1946.7500,-0.07
1946.8333,-0.05
1946.9167,-0.30
1947.0000,-0.06
1947.0833,-0.07
1947.1667,0.07
1947.2500,0.06
1947.3333,-0.01
1947.4167,-0.01
1947.5000,-0.04
1947.5833,-0.07
1947.6667,-0.12
1947.7500,0.08
1947.8333,0.03
1947.9167,-0.13
1948.0000,0.07
1948.0833,-0.14
1948.1667,-0.24
1948.2500,-0.12
1948.3333,-0.01
1948.4167,-0.05
1948.5000,-0.11
1948.5833,-0.11
1948.6667,-0.14
1948.7500,-0.05
1948.8333,-0.12
1948.9167,-0.23
1949.0000,0.07
1949.0833,-0.14
1949.1667,-0.02
1949.2500,-0.11
1949.3333,-0.10
1949.4167,-0.27
