Date, AMO 
1949.08333333333,0.14
1949.16666666667,0.06
1949.25,0.02
1949.33333333333,0.13
1949.41666666667,0.20
1949.5,0.04
1949.58333333333,0.02
1949.66666666667,0.02
1949.75,0.04
1949.83333333333,0.08
1949.91666666667,0.03
1950,0.03
1950.08333333333,0.13
1950.16666666667,0.16
1950.25,0.22
1950.33333333333,0.23
1950.41666666667,0.22
1950.5,0.31
1950.58333333333,0.28
1950.66666666667,0.28
1950.75,0.23
1950.83333333333,0.00
1950.91666666667,0.04
1951,0.04
1951.08333333333,0.07
1951.16666666667,0.08
1951.25,0.05
1951.33333333333,0.12
1951.41666666667,0.16
1951.5,0.31
1951.58333333333,0.17
1951.66666666667,0.12
1951.75,0.13
1951.83333333333,0.13
1951.91666666667,0.12
1952,0.00
1952.08333333333,0.04
1952.16666666667,0.09
1952.25,0.02
1952.33333333333,0.05
1952.41666666667,0.28
1952.5,0.25
1952.58333333333,0.33
1952.66666666667,0.21
1952.75,0.24
1952.83333333333,0.09
1952.91666666667,0.17
1953,0.14
1953.08333333333,0.07
1953.16666666667,0.01
1953.25,0.16
1953.33333333333,0.27
1953.41666666667,0.18
1953.5,0.17
1953.58333333333,0.02
1953.66666666667,0.09
1953.75,0.07
1953.83333333333,0.24
1953.91666666667,0.24
1954,0.15
1954.08333333333,0.01
1954.16666666667,0.05
1954.25,0.11
1954.33333333333,0.05
1954.41666666667,0.08
1954.5,0.18
1954.58333333333,0.27
1954.66666666667,0.22
1954.75,0.06
1954.83333333333,0.10
1954.91666666667,0.06
1955,0.08
1955.08333333333,0.06
1955.16666666667,0.10
1955.25,0.08
1955.33333333333,0.07
1955.41666666667,0.11
1955.5,0.16
1955.58333333333,0.17
1955.66666666667,0.14
1955.75,0.15
1955.83333333333,0.29
1955.91666666667,0.12
1956,0.10
1956.08333333333,0.02
1956.16666666667,0.09
1956.25,0.10
1956.33333333333,0.22
1956.41666666667,0.43
1956.5,0.28
1956.58333333333,0.25
1956.66666666667,0.30
1956.75,0.09
1956.83333333333,0.14
1956.91666666667,0.01
1957,0.16
1957.08333333333,0.12
1957.16666666667,0.06
1957.25,0.16
1957.33333333333,0.27
1957.41666666667,0.14
1957.5,0.10
1957.58333333333,0.06
1957.66666666667,0.11
1957.75,0.10
1957.83333333333,0.03
1957.91666666667,0.04
1958,0.09
1958.08333333333,0.16
1958.16666666667,0.31
1958.25,0.30
1958.33333333333,0.15
1958.41666666667,0.12
1958.5,0.05
1958.58333333333,0.04
1958.66666666667,0.04
1958.75,0.04
1958.83333333333,0.12
1958.91666666667,0.14
1959,0.07
1959.08333333333,0.11
1959.16666666667,0.07
1959.25,0.19
1959.33333333333,0.15
1959.41666666667,0.15
1959.5,0.18
1959.58333333333,0.12
1959.66666666667,0.04
1959.75,0.08
1959.83333333333,0.01
1959.91666666667,0.05
1960,0.06
1960.08333333333,0.09
1960.16666666667,0.05
1960.25,0.06
1960.33333333333,0.15
1960.41666666667,0.18
1960.5,0.10
1960.58333333333,0.17
1960.66666666667,0.08
1960.75,0.22
1960.83333333333,0.15
1960.91666666667,0.06
1961,0.08
1961.08333333333,0.08
1961.16666666667,0.17
1961.25,0.18
1961.33333333333,0.12
