Year,ENSO
2021.6667,1.3
2021.7500,1.2
2021.8333,1.6
2021.9167,2.5
2022.0000,0.8
2022.0833,1.8
2022.1667,2.9
2022.2500,2.8
2022.3333,2.4
2022.4167,2.8
2022.5000,1.3
2022.5833,1.7
2022.6667,2.7
2022.7500,2.8
2022.8333,0.5
2022.9167,3.5
2023.0000,2.3
2023.0833,2.3
2023.1667,0.3
2023.2500,0.4
2023.3333,-1.7
2023.4167,0.4
2023.5000,-0.4
2023.5833,-1.4
2023.6667,-2.1
2023.7500,-999.9
2023.8333,-999.9
2023.9167,-999.9
2024.0000,-999.9
2024.0833,-999.9
2024.1667,-999.9
2024.2500,-999.9
2024.3333,-999.9
2024.4167,-999.9
2024.5000,-999.9
2024.5833,-999.9
2024.6667,-999.9
2024.7500,-999.9
2024.8333,-999.9
2024.9167,-999.9
2025.0000,-999.9
2025.0833,-999.9
2025.1667,-999.9
2025.2500,-999.9
2025.3333,-999.9
2025.4167,-999.9
2025.5000,-999.9
2025.5833,-999.9
2025.6667,-999.9
2025.7500,-999.9
2025.8333,-999.9
2025.9167,-999.9
2026.0000,-999.9
2026.0833,-999.9
2026.1667,-999.9
2026.2500,-999.9
2026.3333,-999.9
2026.4167,-999.9
2026.5000,-999.9
2026.5833,-999.9
2026.6667,-999.9
2026.7500,-999.9
2026.8333,-999.9
2026.9167,-999.9
2027.0000,-999.9
2027.0833,-999.9
2027.1667,-999.9
2027.2500,-999.9
2027.3333,-999.9
2027.4167,-999.9
2027.5000,-999.9
2027.5833,-999.9
2027.6667,-999.9
2027.7500,-999.9
2027.8333,-999.9
2027.9167,-999.9
2028.0000,-999.9
2028.0833,-999.9
2028.1667,-999.9
2028.2500,-999.9
2028.3333,-999.9
2028.4167,-999.9
2028.5000,-999.9
2028.5833,-999.9
2028.6667,-999.9
2028.7500,-999.9
2028.8333,-999.9
2028.9167,-999.9
2029.0000,-999.9
2029.0833,-999.9
2029.1667,-999.9
2029.2500,-999.9
2029.3333,-999.9
2029.4167,-999.9
2029.5000,-999.9
2029.5833,-999.9
2029.6667,-999.9
2029.7500,-999.9
2029.8333,-999.9
2029.9167,-999.9
2030.0000,-999.9
2030.0833,-999.9
2030.1667,-999.9
2030.2500,-999.9
2030.3333,-999.9
2030.4167,-999.9
2030.5000,-999.9
2030.5833,-999.9
2030.6667,-999.9
2030.7500,-999.9
2030.8333,-999.9
2030.9167,-999.9
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
             NaN  ,           NaN
